OBJECTID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,Month,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,FIPS_NAME
3475.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1700.0,293.0,D,38.55777778,-79.07166667,USFS,VA,Rockingham County
3483.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1730.0,1.0,B,38.3,-79.38333333,USFS,VA,Augusta County
3505.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0, December,Human,Power generation/transmission/distribution,,1600.0,11.1,C,38.74138889,-79.02944444,STATE OR PRIVATE,VA,Rockingham County
3506.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1430.0,0.1,A,36.85472222,-82.44777778,USFS,VA,Scott County
3514.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,1600.0,2.5,B,37.76027778,-80.20194444,STATE OR PRIVATE,VA,Alleghany County
3516.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,1900.0,32.0,C,37.64583333,-80.15027778,STATE OR PRIVATE,VA,Alleghany County
3517.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Missing data/not specified/undetermined,,1600.0,5.0,B,37.83194444,-80.09388889,USFS,VA,Alleghany County
3518.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,February,Human,Equipment and vehicle use,,1900.0,6.0,B,37.8975,-79.57611111,STATE OR PRIVATE,VA,Rockbridge County
3520.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Natural,Natural,,1800.0,7.6,B,38.18194444,-79.84444444,STATE OR PRIVATE,VA,Bath County
3522.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Fireworks,,1430.0,0.1,A,38.55333333,-79.00666667,USFS,VA,Rockingham County
3523.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,February,Human,Debris and open burning,,1800.0,2.0,B,36.79694444,-82.80833333,STATE OR PRIVATE,VA,Lee County
3524.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Human,Recreation and ceremony,,200.0,7.0,B,38.85,-78.35305556,USFS,VA,Warren County
3525.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1200.0,0.75,B,37.14944444,-82.62444444,USFS,VA,Wise County
3528.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,June,Natural,Natural,,1630.0,33.0,C,37.50333333,-79.6575,USFS,VA,Botetourt County
5090.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Power generation/transmission/distribution,,2345.0,0.3,B,38.29055556,-79.34388889,MISSING/NOT SPECIFIED,VA,Augusta County
5384.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,1700.0,2.0,B,37.90111111,-79.59944444,STATE OR PRIVATE,VA,Rockbridge County
5387.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1700.0,2.0,B,36.89222222,-82.54305556,USFS,VA,Wise County
5638.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Recreation and ceremony,,2230.0,3.0,B,37.08333333,-81.21666667,STATE OR PRIVATE,VA,Bland County
5642.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Smoking,,2230.0,2.0,B,37.05,-81.06666667,USFS,VA,Bland County
5680.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Debris and open burning,,1300.0,5.0,B,37.45,-80.51666667,STATE OR PRIVATE,VA,Giles County
5688.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Human,Arson/incendiarism,,1500.0,2.0,B,37.26666667,-80.46666667,USFS,VA,Montgomery County
5982.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,April,Human,Debris and open burning,,1530.0,1.0,B,37.46666667,-80.23333333,USFS,VA,Craig County
5984.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,1500.0,2.5,B,37.95666667,-78.95388889,USFS,VA,Augusta County
6910.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Arson/incendiarism,,1330.0,0.1,A,38.52861111,-78.65861111,USFS,VA,Page County
6912.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,February,Human,Arson/incendiarism,,1330.0,0.1,A,38.52944444,-78.65833333,USFS,VA,Page County
7306.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,August,Natural,Natural,,1400.0,0.3,B,38.47666667,-79.22027778,USFS,VA,Rockingham County
8001.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,August,Natural,Natural,,1830.0,2.3,B,37.63083333,-80.14944444,MISSING/NOT SPECIFIED,VA,Alleghany County
8784.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,August,Natural,Natural,,1700.0,12.0,C,37.39861111,-80.26833333,USFS,VA,Craig County
8893.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,November,Human,Arson/incendiarism,,1200.0,2.0,B,36.93666667,-82.45527778,MISSING/NOT SPECIFIED,VA,Dickenson County
8894.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,November,Human,Arson/incendiarism,,1630.0,5.0,B,36.8275,-82.54638889,USFS,VA,Scott County
8895.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,November,Human,Debris and open burning,,1200.0,2.0,B,37.19166667,-82.53416667,MISSING/NOT SPECIFIED,VA,Dickenson County
13268.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1400.0,1.0,B,38.57083333,-79.14277778,USFS,VA,Rockingham County
13271.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Arson/incendiarism,,1915.0,0.3,B,38.71833333,-78.83916667,USFS,VA,Rockingham County
15289.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,2000.0,2.0,B,37.95194444,-78.95416667,USFS,VA,Augusta County
15290.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,1000.0,35.0,C,37.43138889,-79.815,USFS,VA,Botetourt County
16381.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Debris and open burning,,1500.0,1140.0,F,37.43194444,-79.815,STATE OR PRIVATE,VA,Bedford County
16487.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,July,Natural,Natural,,1500.0,20.0,C,37.4325,-80.1925,USFS,VA,Craig County
16675.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Missing data/not specified/undetermined,,1600.0,0.12,A,37.73027778,-79.31388889,USFS,VA,Rockbridge County
16922.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Missing data/not specified/undetermined,,900.0,3.3,B,37.29527778,-80.46361111,USFS,VA,Montgomery County
16923.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Human,Missing data/not specified/undetermined,,1800.0,25.0,C,37.29527778,-80.46333333,USFS,VA,Montgomery County
16925.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Human,Debris and open burning,,1700.0,0.5,B,37.14361111,-81.12944444,USFS,VA,Bland County
17543.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,April,Human,Misuse of fire by a minor,Minor,1200.0,0.1,A,38.70722222,-78.56111111,USFS,VA,Page County
17560.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,May,Human,Power generation/transmission/distribution,,1800.0,850.0,E,37.05305556,-80.11111111,STATE OR PRIVATE,VA,Pulaski County
17710.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,June,Human,Missing data/not specified/undetermined,,2100.0,1.3,B,37.03333333,-81.23,USFS,VA,Bland County
17712.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,July,Human,Arson/incendiarism,,1800.0,2871.0,F,37.61472222,-79.36555556,USFS,VA,Amherst County
17722.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,August,Human,Arson/incendiarism,,1900.0,1.0,B,37.56666667,-79.33055556,USFS,VA,Amherst County
17724.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,September,Human,Arson/incendiarism,,800.0,867.0,E,37.25944444,-82.34138889,USFS,VA,Dickenson County
17755.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,October,Human,Arson/incendiarism,,1800.0,1935.0,F,38.67666667,-78.5525,USFS,VA,Page County
17772.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,November,Human,Missing data/not specified/undetermined,,1330.0,0.1,A,38.22472222,-79.40861111,USFS,VA,Augusta County
17921.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Railroad operations and maintenance,,1800.0,32.0,C,36.72138889,-82.77472222,MISSING/NOT SPECIFIED,VA,Scott County
17923.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Power generation/transmission/distribution,,2100.0,11.0,C,37.75416667,-80.05972222,STATE OR PRIVATE,VA,Alleghany County
17948.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,February,Human,Arson/incendiarism,,1400.0,10.0,C,38.57361111,-79.13861111,USFS,VA,Rockingham County
17982.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Human,Power generation/transmission/distribution,,1800.0,93.0,C,36.91888889,-82.66055556,USFS,VA,Wise County
17997.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,April,Human,Missing data/not specified/undetermined,,2000.0,2.5,B,37.63361111,-79.36305556,USFS,VA,Amherst County
17999.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,May,Human,Power generation/transmission/distribution,,1730.0,1.0,B,37.80166667,-79.2875,USFS,VA,Rockbridge County
18125.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,June,Human,Missing data/not specified/undetermined,,2355.0,2.7,B,37.84111111,-79.97083333,USFS,VA,Alleghany County
18144.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,July,Natural,Natural,,2100.0,0.01,A,37.86055556,-79.62194444,USFS,VA,Alleghany County
18286.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,August,Human,Arson/incendiarism,,1800.0,115.0,D,38.2,-79.28333333,USFS,VA,Rockingham County
18290.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,September,Human,Equipment and vehicle use,,1130.0,0.1,A,38.41305556,-79.30416667,USFS,VA,Rockingham County
18349.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,October,Human,Arson/incendiarism,,600.0,304.0,E,36.86666667,-82.43416667,USFS,VA,Scott County
18399.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,November,Human,Recreation and ceremony,,2300.0,0.83,B,37.87888889,-78.99166667,USFS,VA,Nelson County
18400.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Natural,Natural,,1500.0,13.6,C,38.55416667,-79.18277778,USFS,VA,Rockingham County
18438.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Missing data/not specified/undetermined,,900.0,1070.0,F,37.77,-79.96055556,USFS,VA,Amherst County
18603.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,February,Natural,Natural,,1800.0,185.0,D,38.52138889,-79.09916667,USFS,VA,Rockingham County
18827.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Human,Debris and open burning,,1800.0,0.1,A,36.875,-82.44166667,USFS,VA,Wise County
18832.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,April,Human,Recreation and ceremony,,2200.0,0.1,A,36.87055556,-82.46166667,USFS,VA,Scott County
18910.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,May,Natural,Natural,,100.0,0.6,B,38.55027778,-78.66555556,USFS,VA,Shenandoah County
20978.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,June,Natural,Natural,,1800.0,383.0,E,37.81388889,-79.85166667,USFS,VA,Alleghany County
21242.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,July,Human,Equipment and vehicle use,,1530.0,1.1,B,37.81972222,-79.83861111,USFS,VA,Alleghany County
21541.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,August,Human,Arson/incendiarism,,1800.0,1.0,B,36.76277778,-82.87666667,USFS,VA,Lee County
22021.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,September,Natural,Natural,,1700.0,0.2,A,38.81972222,-78.96638889,USFS,VA,Rockingham County
22839.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,October,Human,Equipment and vehicle use,,1715.0,0.1,A,38.52277778,-79.15666667,USFS,VA,Rockingham County
22985.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,November,Natural,Natural,,1200.0,7.8,B,37.03805556,-81.0425,STATE OR PRIVATE,VA,Wythe County
23782.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,December,Human,Recreation and ceremony,,1930.0,0.01,A,37.78138889,-79.66194444,USFS,VA,Alleghany County
24344.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,January,Human,Arson/incendiarism,,1645.0,4.3,B,37.08333333,-81.18666667,USFS,VA,Bland County
25075.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,February,Natural,Natural,,1200.0,402.0,E,37.56722222,-79.475,USFS,VA,Rockbridge County
25294.0,FED,FS-FIRESTAT,George Washington & Jefferson National Forests,George Washington-Jefferson,2018.0,March,Natural,Natural,,1200.0,5.0,B,36.83111111,-81.06,USFS,VA,Wythe County
