"OBJECTID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT_NAME","FIRE_YEAR","Month","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","FIPS_NAME"
3475,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Human","Arson/incendiarism","",1700,293,"D",38.55777778,-79.07166667,"USFS","VA","Rockingham County"
3483,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Human","Arson/incendiarism","",1730,1,"B",38.3,-79.38333333,"USFS","VA","Augusta County"
3505,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Human","Power generation/transmission/distribution","",1600,11.1,"C",38.74138889,-79.02944444,"STATE OR PRIVATE","VA","Rockingham County"
3506,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Human","Arson/incendiarism","",1430,0.1,"A",36.85472222,-82.44777778,"USFS","VA","Scott County"
3514,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Human","Missing data/not specified/undetermined","",1600,2.5,"B",37.76027778,-80.20194444,"STATE OR PRIVATE","VA","Alleghany County"
3516,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Human","Missing data/not specified/undetermined","",1900,32,"C",37.64583333,-80.15027778,"STATE OR PRIVATE","VA","Alleghany County"
3517,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"January","Human","Missing data/not specified/undetermined","",1600,5,"B",37.83194444,-80.09388889,"USFS","VA","Alleghany County"
3518,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"February","Human","Equipment and vehicle use","",1900,6,"B",37.8975,-79.57611111,"STATE OR PRIVATE","VA","Rockbridge County"
3520,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"December","Natural","Natural","",1800,7.6,"B",38.18194444,-79.84444444,"STATE OR PRIVATE","VA","Bath County"
3522,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"January","Human","Fireworks","",1430,0.1,"A",38.55333333,-79.00666667,"USFS","VA","Rockingham County"
3523,"FED","FS-FIRESTAT","George Washington & Jefferson National Forests","George Washington-Jefferson",2018,"February","Human","Debris and open burning","",1800,2,"B",36.79694444,-82.80833333,"STATE OR PRIVATE","VA","Lee County"
